old_cluster_id,uuid,new_cluster_id
3511408,20666-B-543018-20020126,3658091
3512709,15942-B-3008079-20020107,3659442
3535218,5478-B-1559982-20021125,3681952
3577177,11389-B-995221-20030512,3724645
3606693,18467-B-2821053-20020924,3754455
3624791,4753-B-374109-20030930,3773888
3596097,11389-B-995916-20031223,3774173
3638885,11389-B-995311-20030627,3788254
3745518,11389-B-995240-20030630,3898757
2952145,2633-B-4824552-20050525,3081042
3020774,4753-B-374250-20041019,3153123
3070583,19296-B-430733-20050214,3203734
3087373,6442-B-5555574-20040624,3221453
3188062,12151-B-168944-20050129,3324944
3333817,1517-B-11354042-20051015,3474737
3345950,11709-B-5267313-20040804,3488773
3382493,5678-B-3046338-20050720,3524906
3382923,489-B-3711822-20040518,3525352
3489646,15738-B-187575-20040518,3635142
3569734,19545-B-2627863-20050322,3716675
3569738,10230-B-4932118-20040505,3716679
3609603,11389-B-996683-20050415,3757495
3615945,21005-B-2500302-20040819,3764584
3621007,16075-B-4393564-20040831,3769951
3752458,9206-B-4945685-20040416,3905980
2923049,13007-B-7516751-20070512,3052535
2934723,14695-B-1139306-20060403,3065344
2952847,15340-B-2683562-20060210,3081622
3009722,3636-B-2835011-20070708,3141677
3050628,4062-B-158002-20060727,3187077
3098908,734-B-12237884-20070810,3232795
3140779,19545-B-2628221-20060825,3276464
3188061,12151-B-169722-20070608,3324943
3282215,19190-B-10480860-20070422,3422088
3476012,16770-B-4788665-20060815,3619495
3505978,9826-B-11783275-20070227,3652515
3532567,8259-B-2448949-20060206,3679260
3548783,14531-B-12059374-20060525,3696313
3629499,1291-B-6835999-20060711,3779156
3631084,15326-B-5480990-20061007,3780869
3647118,3994-B-11268575-20060906,3797750
3653300,18880-B-2527402-20070924,3804649
2934763,1478-B-12989179-20091208,3065345
2979079,5678-B-3048974-20080513,3109988
2993517,13555-B-12747181-20090529,3124281
3051433,1062-B-7834076-20090709,3183557
3055057,12151-B-170326-20080201,3187328
3089103,1062-B-7834148-20090312,3222624
3069155,12162-B-1549666-20080410,3226538
3142730,5781-B-3940471-20090609,3278463
